,c,mn,si,cr,ni,mo,v,n,nb,co,w,al,ti,fe,combined_compositions,yield_strength,tensile_strength,elongation,combined_properties,elongation_predicted,combined_predicted,elongation_catagorised_true,elongation_catagorised_predicted
0,0.02,0.05,0.05,0.01,19.69,2.95,0.01,0.0,0.01,15.0,0.0,0.15,1.55,60.49,"[60.49, 0.02, 0.05, 0.05, 0.01, 19.69, 2.95, 0.01, 0.0, 0.01, 15.0, 0.0, 0.15, 1.55]",2411.5,2473.5,7.0,[2411.5 2473.5    7. ],12.695898528651355,[1877.93416328 2081.38013282   12.69589853],medium,strong
1,0.18,0.01,0.01,13.44,0.01,3.01,0.46,0.04,0.01,19.46,2.35,0.04,0.0,61.03,"[61.03, 0.18, 0.01, 0.01, 13.44, 0.01, 3.01, 0.46, 0.04, 0.01, 19.46, 2.35, 0.04, 0.0]",1123.1,,8.0,[1123.1    nan    8. ],10.929772627889195,[1468.83531353 2056.87093935   10.92977263],medium,strong
2,0.0,0.01,0.01,8.67,13.45,0.82,0.01,0.0,0.01,13.9,0.0,0.39,0.57,62.17,"[62.17, 0.0, 0.01, 0.01, 8.67, 13.45, 0.82, 0.01, 0.0, 0.01, 13.9, 0.0, 0.39, 0.57]",1736.3,1871.8,,[1736.3 1871.8    nan],17.50832044190165,[1506.52417505 1683.41754043   17.50832044],,strong
3,0.01,0.05,0.05,0.01,17.7,3.95,0.01,0.0,0.01,15.0,0.0,0.13,1.47,61.64,"[61.64, 0.01, 0.05, 0.05, 0.01, 17.7, 3.95, 0.01, 0.0, 0.01, 15.0, 0.0, 0.13, 1.47]",2487.3,2514.9,9.0,[2487.3 2514.9    9. ],12.876270478832303,[1803.91657645 2023.29625514   12.87627048],medium,strong
4,0.01,0.05,0.05,0.01,19.4,1.45,0.01,0.0,0.01,14.9,0.0,0.13,1.55,62.42,"[62.42, 0.01, 0.05, 0.05, 0.01, 19.4, 1.45, 0.01, 0.0, 0.01, 14.9, 0.0, 0.13, 1.55]",2249.6,2315.0,8.5,[2249.6 2315.     8.5],13.333576539081303,[1872.62132794 2041.87898033   13.33357654],medium,strong
5,0.19,0.02,0.49,12.56,0.94,1.96,0.01,0.0,0.01,20.1,0.0,0.03,0.0,63.69,"[63.69, 0.19, 0.02, 0.49, 12.56, 0.94, 1.96, 0.01, 0.0, 0.01, 20.1, 0.0, 0.03, 0.0]",1328.3,1779.5,19.7,[1328.3 1779.5   19.7],15.4037157050901,[1472.84633705 1943.97973304   15.40371571],strong,strong
6,0.0,0.05,0.05,0.01,18.1,3.6,0.01,0.0,0.01,13.0,0.0,0.11,2.25,62.8,"[62.8, 0.0, 0.05, 0.05, 0.01, 18.1, 3.6, 0.01, 0.0, 0.01, 13.0, 0.0, 0.11, 2.25]",2501.1,2570.0,3.7,[2501.1 2570.     3.7],10.06462922390819,[2020.97686742 2251.010494     10.06462922],fragile,strong
7,0.1,0.57,0.24,12.19,0.01,8.9,0.01,0.02,0.01,15.2,0.0,0.03,0.0,62.73,"[62.73, 0.1, 0.57, 0.24, 12.19, 0.01, 8.9, 0.01, 0.02, 0.01, 15.2, 0.0, 0.03, 0.0]",1228.9,1795.6,2.0,[1228.9 1795.6    2. ],14.06903637353744,[1197.70111197 1732.95263834   14.06903637],fragile,strong
8,0.01,0.01,1.99,17.5,2.1,0.02,0.01,0.0,0.01,11.8,0.0,0.03,0.05,66.48,"[66.48, 0.01, 0.01, 1.99, 17.5, 2.1, 0.02, 0.01, 0.0, 0.01, 11.8, 0.0, 0.03, 0.05]",1088.6,1419.3,10.0,[1088.6 1419.3   10. ],17.164074224052676,[1128.61466531 1490.65562429   17.16407422],medium,strong
9,0.16,0.01,0.01,14.56,0.01,4.9,0.48,0.05,0.01,15.6,0.0,0.04,0.0,64.18,"[64.18, 0.16, 0.01, 0.01, 14.56, 0.01, 4.9, 0.48, 0.05, 0.01, 15.6, 0.0, 0.04, 0.0]",1502.0,2008.4,11.5,[1502.  2008.4   11.5],12.298137699018776,[1386.57340171 1957.63006723   12.2981377 ],strong,strong
10,0.01,0.05,0.05,0.01,18.0,3.6,0.01,0.0,0.01,13.0,0.0,0.08,1.88,63.33,"[63.33, 0.01, 0.05, 0.05, 0.01, 18.0, 3.6, 0.01, 0.0, 0.01, 13.0, 0.0, 0.08, 1.88]",2411.5,2475.8,7.7,[2411.5 2475.8    7.7],11.363258336066968,[1908.1277895  2123.20009594   11.36325834],medium,strong
11,0.0,0.05,0.05,0.01,18.1,3.5,0.01,0.0,0.01,13.0,0.0,0.1,1.62,63.55,"[63.55, 0.0, 0.05, 0.05, 0.01, 18.1, 3.5, 0.01, 0.0, 0.01, 13.0, 0.0, 0.1, 1.62]",2331.1,2397.7,9.3,[2331.1 2397.7    9.3],12.572462397709298,[1814.59665052 2005.05581615   12.5724624 ],medium,strong
12,0.16,0.01,0.01,13.56,0.01,4.7,0.4,0.04,0.01,16.2,0.0,0.04,0.0,64.87,"[64.87, 0.16, 0.01, 0.01, 13.56, 0.01, 4.7, 0.4, 0.04, 0.01, 16.2, 0.0, 0.04, 0.0]",1274.7,1949.9,12.0,[1274.7 1949.9   12. ],12.976389937865806,[1388.43068004 1929.08786307   12.97638994],strong,strong
13,0.0,0.05,0.05,0.01,18.0,3.6,0.5,0.0,0.01,12.0,0.0,0.02,1.9,63.81,"[63.81, 0.0, 0.05, 0.05, 0.01, 18.0, 3.6, 0.5, 0.0, 0.01, 12.0, 0.0, 0.02, 1.9]",2402.3,2468.9,8.3,[2402.3 2468.9    8.3],10.877369167954868,[1893.21636688 2094.6850159    10.87736917],medium,strong
14,0.16,0.01,0.01,14.24,0.01,7.15,0.41,0.03,0.01,13.6,0.0,0.04,0.0,64.36,"[64.36, 0.16, 0.01, 0.01, 14.24, 0.01, 7.15, 0.41, 0.03, 0.01, 13.6, 0.0, 0.04, 0.0]",1460.7,2197.9,4.0,[1460.7 2197.9    4. ],12.789881594090668,[1314.42554727 1855.78848688   12.78988159],fragile,strong
15,0.2,0.01,0.01,14.13,0.92,1.99,0.01,0.0,0.08,17.0,0.0,0.03,0.0,65.6,"[65.6, 0.2, 0.01, 0.01, 14.13, 0.92, 1.99, 0.01, 0.0, 0.08, 17.0, 0.0, 0.03, 0.0]",1243.4,1792.3,20.8,[1243.4 1792.3   20.8],15.970450364074583,[1434.39142369 1868.40635632   15.97045036],strong,strong
16,0.02,0.05,0.05,0.01,17.0,4.07,0.69,0.0,0.01,12.3,0.0,0.16,1.58,64.02,"[64.02, 0.02, 0.05, 0.05, 0.01, 17.0, 4.07, 0.69, 0.0, 0.01, 12.3, 0.0, 0.16, 1.58]",,2436.8,9.7,[   nan 2436.8    9.7],10.881243152345899,[1857.18812901 2062.11873475   10.88124315],medium,strong
17,0.16,0.01,0.67,14.5,0.01,5.09,0.41,0.02,0.01,13.41,0.0,0.04,0.0,65.66,"[65.66, 0.16, 0.01, 0.67, 14.5, 0.01, 5.09, 0.41, 0.02, 0.01, 13.41, 0.0, 0.04, 0.0]",1412.5,2129.0,4.0,[1412.5 2129.     4. ],12.805191812782658,[1333.98511383 1849.03726519   12.80519181],fragile,strong
18,0.01,0.01,0.01,0.01,15.0,6.02,0.01,0.0,0.01,14.8,0.0,0.03,0.62,63.49,"[63.49, 0.01, 0.01, 0.01, 0.01, 15.0, 6.02, 0.01, 0.0, 0.01, 14.8, 0.0, 0.03, 0.62]",1603.3,1751.6,10.3,[1603.3 1751.6   10.3],15.767400013518186,[1451.7806235  1667.40299829   15.76740001],strong,strong
19,0.01,0.01,1.93,15.6,4.1,0.02,0.01,0.0,0.01,10.5,0.0,0.03,0.06,67.68,"[67.68, 0.01, 0.01, 1.93, 15.6, 4.1, 0.02, 0.01, 0.0, 0.01, 10.5, 0.0, 0.03, 0.06]",1185.1,1453.8,18.0,[1185.1 1453.8   18. ],17.026795280283046,[1142.36475904 1460.47018091   17.02679528],strong,strong
20,0.01,0.05,0.05,0.01,17.5,4.15,0.01,0.0,0.01,11.5,0.0,0.62,1.48,64.67,"[64.67, 0.01, 0.05, 0.05, 0.01, 17.5, 4.15, 0.01, 0.0, 0.01, 11.5, 0.0, 0.62, 1.48]",2510.3,2570.0,7.7,[2510.3 2570.     7.7],11.225008549723139,[1894.64006564 2060.47360758   11.22500855],medium,strong
21,0.01,0.05,0.05,0.01,17.2,3.95,0.01,0.0,0.01,12.2,0.0,0.23,1.78,64.48,"[64.48, 0.01, 0.05, 0.05, 0.01, 17.2, 3.95, 0.01, 0.0, 0.01, 12.2, 0.0, 0.23, 1.78]",2372.4,2441.3,8.7,[2372.4 2441.3    8.7],11.139153119488792,[1895.74302501 2099.45013143   11.13915312],medium,strong
22,0.07,0.01,0.01,15.54,0.01,4.99,0.41,0.03,0.01,13.41,0.0,0.03,0.0,65.46,"[65.46, 0.07, 0.01, 0.01, 15.54, 0.01, 4.99, 0.41, 0.03, 0.01, 13.41, 0.0, 0.03, 0.0]",1312.6,2011.9,11.5,[1312.6 2011.9   11.5],15.50077507074743,[1185.26328837 1643.16866656   15.50077507],strong,strong
23,0.16,0.56,0.01,14.46,0.01,5.12,0.41,0.03,0.01,13.41,0.0,0.05,0.0,65.78,"[65.78, 0.16, 0.56, 0.01, 14.46, 0.01, 5.12, 0.41, 0.03, 0.01, 13.41, 0.0, 0.05, 0.0]",1350.4,2039.4,12.0,[1350.4 2039.4   12. ],13.075029860994965,[1338.18643168 1849.08726352   13.07502986],strong,strong
24,0.16,0.01,0.03,13.99,1.09,4.95,0.01,0.0,0.27,13.94,0.0,0.03,0.0,65.53,"[65.53, 0.16, 0.01, 0.03, 13.99, 1.09, 4.95, 0.01, 0.0, 0.27, 13.94, 0.0, 0.03, 0.0]",1169.4,1603.4,21.8,[1169.4 1603.4   21.8],15.869978245066472,[1291.64053775 1729.01778976   15.86997825],strong,strong
25,0.2,0.01,0.51,12.51,0.95,1.97,0.01,0.0,0.08,17.06,0.0,0.03,0.0,66.66,"[66.66, 0.2, 0.01, 0.51, 12.51, 0.95, 1.97, 0.01, 0.0, 0.08, 17.06, 0.0, 0.03, 0.0]",1322.1,1770.7,17.8,[1322.1 1770.7   17.8],14.928568882445349,[1451.34466526 1896.25122499   14.92856888],strong,strong
26,0.01,0.01,0.01,11.14,8.0,4.99,0.01,0.0,0.01,8.62,0.0,1.22,0.01,65.94,"[65.94, 0.01, 0.01, 0.01, 11.14, 8.0, 4.99, 0.01, 0.0, 0.01, 8.62, 0.0, 1.22, 0.01]",1870.6,1970.6,11.5,[1870.6 1970.6   11.5],15.694009351828045,[1393.37368868 1574.53690368   15.69400935],strong,strong
27,0.01,0.01,0.01,0.01,15.1,5.1,0.01,0.0,0.01,15.3,0.0,0.03,0.2,64.24,"[64.24, 0.01, 0.01, 0.01, 0.01, 15.1, 5.1, 0.01, 0.0, 0.01, 15.3, 0.0, 0.03, 0.2]",1580.0,1675.6,13.6,[1580.  1675.6   13.6],17.69420774094834,[1333.23099178 1511.27771714   17.69420774],strong,strong
28,0.15,0.01,0.01,14.48,0.01,5.06,0.46,0.15,0.01,13.49,0.0,0.05,0.0,66.09,"[66.09, 0.15, 0.01, 0.01, 14.48, 0.01, 5.06, 0.46, 0.15, 0.01, 13.49, 0.0, 0.05, 0.0]",1164.4,2032.6,4.0,[1164.4 2032.6    4. ],6.3887128865502145,[1446.24149847 2220.88246404    6.38871289],fragile,medium
29,0.16,0.01,0.01,14.34,0.01,5.09,0.87,0.04,0.01,13.45,0.0,0.05,0.0,65.97,"[65.97, 0.16, 0.01, 0.01, 14.34, 0.01, 5.09, 0.87, 0.04, 0.01, 13.45, 0.0, 0.05, 0.0]",1550.3,2122.1,12.0,[1550.3 2122.1   12. ],12.064573124787161,[1371.95272743 1896.28937189   12.06457312],strong,strong
30,0.01,0.05,0.05,0.01,17.5,3.9,0.01,0.0,0.01,11.8,0.0,0.17,1.54,64.94,"[64.94, 0.01, 0.05, 0.05, 0.01, 17.5, 3.9, 0.01, 0.0, 0.01, 11.8, 0.0, 0.17, 1.54]",2381.6,2436.8,9.3,[2381.6 2436.8    9.3],12.2348747381665,[1800.02913265 1984.8537502    12.23487474],medium,strong
31,0.21,0.01,0.01,14.6,0.01,5.02,0.41,0.02,0.01,13.48,0.0,0.05,0.0,66.15,"[66.15, 0.21, 0.01, 0.01, 14.6, 0.01, 5.02, 0.41, 0.02, 0.01, 13.48, 0.0, 0.05, 0.0]",1405.6,2122.1,12.0,[1405.6 2122.1   12. ],12.840715975791326,[1409.71856522 1918.61814918   12.84071598],strong,strong
32,0.21,0.01,0.01,14.58,0.01,5.02,0.46,0.02,0.01,13.45,0.0,0.05,0.0,66.19,"[66.19, 0.21, 0.01, 0.01, 14.58, 0.01, 5.02, 0.46, 0.02, 0.01, 13.45, 0.0, 0.05, 0.0]",1529.6,2108.3,12.0,[1529.6 2108.3   12. ],12.772601156259022,[1412.22032028 1920.58702701   12.77260116],strong,strong
33,0.01,0.01,0.01,10.96,7.97,5.0,0.01,0.0,0.01,8.55,0.0,1.21,0.01,66.24,"[66.24, 0.01, 0.01, 0.01, 10.96, 7.97, 5.0, 0.01, 0.0, 0.01, 8.55, 0.0, 1.21, 0.01]",,1953.3,11.0,[   nan 1953.3   11. ],15.690478007382303,[1390.89126692 1570.05502479   15.69047801],strong,strong
34,0.21,0.43,0.5,12.53,1.18,2.06,0.01,0.0,0.01,15.91,0.0,0.03,0.0,67.13,"[67.13, 0.21, 0.43, 0.5, 12.53, 1.18, 2.06, 0.01, 0.0, 0.01, 15.91, 0.0, 0.03, 0.0]",1352.2,1839.4,19.0,[1352.2 1839.4   19. ],14.42746555939567,[1457.42578693 1899.86288017   14.42746556],strong,strong
35,0.0,0.01,0.01,10.97,7.99,4.98,0.01,0.0,0.01,8.51,0.0,1.19,0.02,66.27,"[66.27, 0.0, 0.01, 0.01, 10.97, 7.99, 4.98, 0.01, 0.0, 0.01, 8.51, 0.0, 1.19, 0.02]",1837.9,1949.8,12.5,[1837.9 1949.8   12.5],15.924516405768564,[1372.57751347 1546.34400136   15.92451641],strong,strong
36,0.07,0.57,0.32,11.76,0.01,6.32,0.01,0.05,0.01,15.2,0.0,0.03,0.0,65.62,"[65.62, 0.07, 0.57, 0.32, 11.76, 0.01, 6.32, 0.01, 0.05, 0.01, 15.2, 0.0, 0.03, 0.0]",1133.4,1931.2,13.4,[1133.4 1931.2   13.4],13.43777197461309,[1215.80310472 1753.28196788   13.43777197],strong,strong
37,0.2,0.01,0.03,14.09,0.01,1.98,0.01,0.0,0.08,16.62,0.0,0.03,0.0,66.99,"[66.99, 0.2, 0.01, 0.03, 14.09, 0.01, 1.98, 0.01, 0.0, 0.08, 16.62, 0.0, 0.03, 0.0]",1358.2,1841.4,13.8,[1358.2 1841.4   13.8],15.847724251019292,[1424.78503528 1857.94804301   15.84772425],strong,strong
38,0.21,0.01,1.99,12.58,0.94,1.98,0.01,0.0,0.08,13.88,0.0,0.03,0.0,68.3,"[68.3, 0.21, 0.01, 1.99, 12.58, 0.94, 1.98, 0.01, 0.0, 0.08, 13.88, 0.0, 0.03, 0.0]",1354.2,1769.8,19.1,[1354.2 1769.8   19.1],11.937612152743569,[1447.7295538  1943.37373372   11.93761215],strong,strong
39,0.09,0.66,0.27,12.28,0.01,0.02,0.01,0.03,0.01,14.8,8.0,0.03,0.0,63.84,"[63.84, 0.09, 0.66, 0.27, 12.28, 0.01, 0.02, 0.01, 0.03, 0.01, 14.8, 8.0, 0.03, 0.0]",1081.1,1678.6,5.8,[1081.1 1678.6    5.8],8.37318912868346,[1253.79735679 1742.0467182     8.37318913],medium,medium
40,0.12,0.01,0.01,14.52,0.01,5.09,0.43,0.03,0.01,13.46,0.0,0.03,0.0,66.25,"[66.25, 0.12, 0.01, 0.01, 14.52, 0.01, 5.09, 0.43, 0.03, 0.01, 13.46, 0.0, 0.03, 0.0]",1515.8,2101.5,6.0,[1515.8 2101.5    6. ],14.221431934696813,[1271.28236789 1750.98261598   14.22143193],medium,strong
41,0.17,0.01,0.01,14.26,0.01,5.09,0.41,0.03,0.01,13.64,0.0,0.03,0.0,66.28,"[66.28, 0.17, 0.01, 0.01, 14.26, 0.01, 5.09, 0.41, 0.03, 0.01, 13.64, 0.0, 0.03, 0.0]",1502.0,2094.6,11.0,[1502.  2094.6   11. ],13.128350694597225,[1353.38626889 1862.2087956    13.12835069],strong,strong
42,0.01,0.05,0.05,0.01,14.7,1.5,0.01,0.0,0.01,15.3,0.0,0.76,1.16,66.42,"[66.42, 0.01, 0.05, 0.05, 0.01, 14.7, 1.5, 0.01, 0.0, 0.01, 15.3, 0.0, 0.76, 1.16]",2157.3,2239.3,8.5,[2157.3 2239.3    8.5],12.884340571549991,[1883.13613472 2027.16441944   12.88434057],medium,strong
43,0.04,0.55,0.27,12.29,0.01,5.85,0.01,0.03,0.01,15.0,0.0,0.03,0.0,65.91,"[65.91, 0.04, 0.55, 0.27, 12.29, 0.01, 5.85, 0.01, 0.03, 0.01, 15.0, 0.0, 0.03, 0.0]",1287.4,1891.1,11.0,[1287.4 1891.1   11. ],15.550991382339284,[1148.3459956  1612.60225105   15.55099138],strong,strong
44,0.08,0.01,0.01,14.48,0.01,4.99,0.46,0.07,0.01,13.56,0.0,0.03,0.0,66.32,"[66.32, 0.08, 0.01, 0.01, 14.48, 0.01, 4.99, 0.46, 0.07, 0.01, 13.56, 0.0, 0.03, 0.0]",1311.4,2016.5,13.3,[1311.4 2016.5   13.3],12.737361535696087,[1252.0975635  1799.67565788   12.73736154],strong,strong
45,0.2,0.51,0.52,12.66,1.02,1.99,0.01,0.0,0.01,15.56,0.0,0.03,0.0,67.47,"[67.47, 0.2, 0.51, 0.52, 12.66, 1.02, 1.99, 0.01, 0.0, 0.01, 15.56, 0.0, 0.03, 0.0]",1245.4,1754.6,18.5,[1245.4 1754.6   18.5],14.570757324475654,[1436.35047833 1871.71419613   14.57075732],strong,strong
46,0.1,0.51,0.32,12.0,0.01,6.3,0.01,0.04,0.01,14.6,0.0,0.03,0.0,66.06,"[66.06, 0.1, 0.51, 0.32, 12.0, 0.01, 6.3, 0.01, 0.04, 0.01, 14.6, 0.0, 0.03, 0.0]",1155.0,1848.0,13.4,[1155.  1848.    13.4],13.384421691976044,[1245.9111086  1772.15289535   13.38442169],strong,strong
47,0.12,0.01,0.01,14.4,0.01,4.99,0.41,0.03,0.01,13.45,0.0,0.05,0.0,66.5,"[66.5, 0.12, 0.01, 0.01, 14.4, 0.01, 4.99, 0.41, 0.03, 0.01, 13.45, 0.0, 0.05, 0.0]",1322.9,1984.3,16.0,[1322.9 1984.3   16. ],14.211720384968642,[1277.80031899 1753.46601859   14.21172038],strong,strong
48,0.01,0.01,0.01,0.01,14.8,2.5,0.01,0.0,0.01,15.0,0.0,0.03,1.8,65.83,"[65.83, 0.01, 0.01, 0.01, 0.01, 14.8, 2.5, 0.01, 0.0, 0.01, 15.0, 0.0, 0.03, 1.8]",1571.2,1701.7,10.6,[1571.2 1701.7   10.6],12.096636583502537,[1881.48508089 2103.69790222   12.09663658],strong,strong
49,0.01,0.01,0.01,0.01,18.5,4.8,0.43,0.0,0.01,8.7,0.0,0.95,0.72,65.84,"[65.84, 0.01, 0.01, 0.01, 0.01, 18.5, 4.8, 0.43, 0.0, 0.01, 8.7, 0.0, 0.95, 0.72]",1288.4,1453.8,20.0,[1288.4 1453.8   20. ],12.492037764028401,[1720.93049776 1802.94341801   12.49203776],strong,strong
50,0.02,0.01,1.86,15.9,4.0,0.02,0.01,0.0,0.01,9.2,0.0,0.02,0.05,68.89,"[68.89, 0.02, 0.01, 1.86, 15.9, 4.0, 0.02, 0.01, 0.0, 0.01, 9.2, 0.0, 0.02, 0.05]",1143.7,1350.4,17.0,[1143.7 1350.4   17. ],16.922555334765978,[1134.61929918 1442.95596864   16.92255533],strong,strong
51,0.16,0.01,0.01,14.36,0.01,5.15,0.01,0.03,0.01,13.45,0.0,0.07,0.0,66.7,"[66.7, 0.16, 0.01, 0.01, 14.36, 0.01, 5.15, 0.01, 0.03, 0.01, 13.45, 0.0, 0.07, 0.0]",1460.7,2067.0,12.0,[1460.7 2067.    12. ],13.792265089262607,[1326.36474785 1827.37398208   13.79226509],strong,strong
52,0.2,0.51,0.51,12.59,1.03,1.98,0.01,0.0,0.01,15.37,0.0,0.03,0.0,67.71,"[67.71, 0.2, 0.51, 0.51, 12.59, 1.03, 1.98, 0.01, 0.0, 0.01, 15.37, 0.0, 0.03, 0.0]",1300.3,1741.5,17.9,[1300.3 1741.5   17.9],14.561898329780604,[1434.41909695 1866.11509734   14.56189833],strong,strong
53,0.24,0.01,0.01,8.9,8.7,1.5,0.28,0.0,0.01,13.0,0.0,0.03,0.02,67.33,"[67.33, 0.24, 0.01, 0.01, 8.9, 8.7, 1.5, 0.28, 0.0, 0.01, 13.0, 0.0, 0.03, 0.02]",1309.1,1757.0,14.3,[1309.1 1757.    14.3],14.351728371768893,[1571.29782938 1892.31438581   14.35172837],strong,strong
54,0.15,0.01,0.01,14.5,0.01,5.0,0.01,0.0,0.01,13.5,0.0,0.05,0.0,66.81,"[66.81, 0.15, 0.01, 0.01, 14.5, 0.01, 5.0, 0.01, 0.0, 0.01, 13.5, 0.0, 0.05, 0.0]",1338.0,1792.7,14.1,[1338.  1792.7   14.1],15.911983535992968,[1277.76214018 1703.02547462   15.91198354],strong,strong
55,0.01,0.01,0.01,0.01,18.5,4.7,0.01,0.0,0.01,8.8,0.0,1.02,0.71,66.19,"[66.19, 0.01, 0.01, 0.01, 0.01, 18.5, 4.7, 0.01, 0.0, 0.01, 8.8, 0.0, 1.02, 0.71]",1309.1,1495.1,19.0,[1309.1 1495.1   19. ],12.972746867692813,[1719.26745812 1796.95633923   12.97274687],strong,strong
56,0.01,0.01,0.01,0.01,14.9,3.15,0.01,0.0,0.01,15.3,0.0,0.03,0.7,65.85,"[65.85, 0.01, 0.01, 0.01, 0.01, 14.9, 3.15, 0.01, 0.0, 0.01, 15.3, 0.0, 0.03, 0.7]",1669.3,1726.8,10.8,[1669.3 1726.8   10.8],16.23666108999641,[1518.93336409 1690.40335906   16.23666109],strong,strong
57,0.2,0.01,1.5,12.63,0.94,1.98,0.01,0.0,0.08,13.83,0.0,0.03,0.0,68.76,"[68.76, 0.2, 0.01, 1.5, 12.63, 0.94, 1.98, 0.01, 0.0, 0.08, 13.83, 0.0, 0.03, 0.0]",1382.2,1764.8,18.5,[1382.2 1764.8   18.5],12.988809078446405,[1424.97272771 1887.92209537   12.98880908],strong,strong
58,0.01,0.01,0.01,8.14,11.95,0.02,0.01,0.0,0.01,10.48,0.0,0.39,1.11,67.84,"[67.84, 0.01, 0.01, 0.01, 8.14, 11.95, 0.02, 0.01, 0.0, 0.01, 10.48, 0.0, 0.39, 1.11]",1768.0,1828.6,,[1768.  1828.6    nan],14.93732056713834,[1661.850083   1822.02393953   14.93732057],,strong
59,0.09,0.63,0.37,12.3,0.01,3.97,0.01,0.04,0.01,15.2,0.0,0.03,0.0,67.34,"[67.34, 0.09, 0.63, 0.37, 12.3, 0.01, 3.97, 0.01, 0.04, 0.01, 15.2, 0.0, 0.03, 0.0]",1131.9,1595.4,13.4,[1131.9 1595.4   13.4],14.167864554690551,[1264.98998083 1755.19731258   14.16786455],strong,strong
60,0.15,0.01,0.01,14.13,0.14,4.8,0.21,0.0,0.01,13.33,0.0,0.03,0.0,67.18,"[67.18, 0.15, 0.01, 0.01, 14.13, 0.14, 4.8, 0.21, 0.0, 0.01, 13.33, 0.0, 0.03, 0.0]",1341.7,1745.5,18.5,[1341.7 1745.5   18.5],15.674226174820951,[1284.90314351 1701.08554442   15.67422617],strong,strong
